tree,height_m,file,bad,threshold,area_px,area_mm2,area_frac
3615,5.0,23802.tif,0,80,454650,28415.6,0.9671
3615,5.0,23802.tif,0,90,468651,29290.7,0.9969
3615,5.0,23802.tif,0,100,470124,29382.8,1.0
3615,6.0,23723.tif,0,10,169,10.6,0.0004
3615,6.0,23723.tif,0,20,3552,222.0,0.0084
3615,6.0,23723.tif,0,30,13110,819.4,0.031
3615,6.0,23723.tif,0,40,27019,1688.7,0.0639
3615,6.0,23723.tif,0,50,34156,2134.8,0.0808
3615,6.0,23723.tif,0,60,57424,3589.0,0.1359
3615,6.0,23723.tif,0,70,368986,23061.6,0.8733
3615,6.0,23723.tif,0,80,420628,26289.2,0.9956
3615,6.0,23723.tif,0,90,422506,26406.6,1.0
3615,6.0,23723.tif,0,100,422506,26406.6,1.0
3726,1.6,23816.tif,0,10,239,14.9,0.0003
3726,1.6,23816.tif,0,20,457,28.6,0.0006
3726,1.6,23816.tif,0,30,641,40.1,0.0008
3726,1.6,23816.tif,0,40,1310,81.9,0.0016
3726,1.6,23816.tif,0,50,3735,233.4,0.0046
3726,1.6,23816.tif,0,60,73791,4611.9,0.0907
3726,1.6,23816.tif,0,70,693552,43347.0,0.8521
3726,1.6,23816.tif,0,80,789532,49345.8,0.97
3726,1.6,23816.tif,0,90,798912,49932.0,0.9815
3726,1.6,23816.tif,0,100,808313,50519.6,0.993
3726,4.6,23818.tif,0,10,13,0.8,0.0
3726,4.6,23818.tif,0,20,171,10.7,0.0002
3726,4.6,23818.tif,0,30,1156,72.2,0.0016
3726,4.6,23818.tif,0,40,3194,199.6,0.0044
3726,4.6,23818.tif,0,50,8158,509.9,0.0112
3726,4.6,23818.tif,0,60,74135,4633.4,0.1014
3726,4.6,23818.tif,0,70,573437,35839.8,0.7845
3726,4.6,23818.tif,0,80,691971,43248.2,0.9467
3726,4.6,23818.tif,0,90,713245,44577.8,0.9758
3726,4.6,23818.tif,0,100,728488,45530.5,0.9966
3726,5.6,23820.tif,0,10,127,7.9,0.0002
3726,5.6,23820.tif,0,20,6127,382.9,0.0099
3726,5.6,23820.tif,0,30,27614,1725.9,0.0446
3726,5.6,23820.tif,0,40,45353,2834.6,0.0732
3726,5.6,23820.tif,0,50,66765,4172.8,0.1077
3726,5.6,23820.tif,0,60,135880,8492.5,0.2193
3726,5.6,23820.tif,0,70,430353,26897.1,0.6945
3726,5.6,23820.tif,0,80,565978,35373.6,0.9133
3726,5.6,23820.tif,0,90,605747,37859.2,0.9775
3726,5.6,23820.tif,0,100,618419,38651.2,0.9979
3726,6.6,23821.tif,0,10,163,10.2,0.0004
3726,6.6,23821.tif,0,20,1299,81.2,0.0029
3726,6.6,23821.tif,0,30,4306,269.1,0.0098
3726,6.6,23821.tif,0,40,19723,1232.7,0.0448
3726,6.6,23821.tif,0,50,35025,2189.1,0.0795
3726,6.6,23821.tif,0,60,63878,3992.4,0.145
3726,6.6,23821.tif,0,70,328517,20532.3,0.7455
3726,6.6,23821.tif,0,80,416064,26004.0,0.9442
3726,6.6,23821.tif,0,90,435581,27223.8,0.9885
3726,6.6,23821.tif,0,100,440530,27533.1,0.9997
3726,7.6,23823.tif,0,10,182,11.4,0.0005
3726,7.6,23823.tif,0,20,926,57.9,0.0027
3726,7.6,23823.tif,0,30,1792,112.0,0.0053
3726,7.6,23823.tif,0,40,5935,370.9,0.0174
3726,7.6,23823.tif,0,50,16229,1014.3,0.0476
3726,7.6,23823.tif,0,60,66249,4140.6,0.1942
3726,7.6,23823.tif,0,70,251963,15747.7,0.7386
3726,7.6,23823.tif,0,80,308622,19288.9,0.9047
3726,7.6,23823.tif,0,90,334723,20920.2,0.9812
3726,7.6,23823.tif,0,100,339862,21241.4,0.9963
4802,1.4,23814.tif,0,10,269,16.8,0.0003
4802,1.4,23814.tif,0,20,3167,197.9,0.0032
4802,1.4,23814.tif,0,30,9908,619.2,0.0102
4802,1.4,23814.tif,0,40,36031,2251.9,0.0369
4802,1.4,23814.tif,0,50,48743,3046.4,0.0499
4802,1.4,23814.tif,0,60,171095,10693.4,0.1753
4802,1.4,23814.tif,0,70,767514,47969.6,0.7865
4802,1.4,23814.tif,0,80,913109,57069.3,0.9357
4802,1.4,23814.tif,0,90,949961,59372.6,0.9735
4802,1.4,23814.tif,0,100,966324,60395.2,0.9902
4802,5.4,23811.tif,0,10,18,1.1,0.0
4802,5.4,23811.tif,0,20,1557,97.3,0.0023
4802,5.4,23811.tif,0,30,5119,319.9,0.0075
4802,5.4,23811.tif,0,40,7593,474.6,0.0111
4802,5.4,23811.tif,0,50,13661,853.8,0.02
4802,5.4,23811.tif,0,60,120966,7560.4,0.1768
4802,5.4,23811.tif,0,70,525771,32860.7,0.7685
4802,5.4,23811.tif,0,80,663012,41438.2,0.9691
4802,5.4,23811.tif,0,90,676232,42264.5,0.9884
4802,5.4,23811.tif,0,100,683930,42745.6,0.9996
4802,6.4,23809.tif,0,10,234,14.6,0.0004
4802,6.4,23809.tif,0,20,4984,311.5,0.0082
4802,6.4,23809.tif,0,30,7946,496.6,0.0131
4802,6.4,23809.tif,0,40,9496,593.5,0.0157
4802,6.4,23809.tif,0,50,13259,828.7,0.0219
4802,6.4,23809.tif,0,60,181050,11315.6,0.299
4802,6.4,23809.tif,0,70,476689,29793.1,0.7872
4802,6.4,23809.tif,0,80,586586,36661.6,0.9686
4802,6.4,23809.tif,0,90,599582,37473.9,0.9901
4802,6.4,23809.tif,0,100,605485,37842.8,0.9999
4802,7.4,23807.tif,0,10,1083,67.7,0.0019
4802,7.4,23807.tif,0,20,3621,226.3,0.0065
4802,7.4,23807.tif,0,30,7118,444.9,0.0127
4802,7.4,23807.tif,0,40,10710,669.4,0.0191
4802,7.4,23807.tif,0,50,15623,976.4,0.0279
4802,7.4,23807.tif,0,60,120613,7538.3,0.2156
4802,7.4,23807.tif,0,70,434527,27157.9,0.7768
4802,7.4,23807.tif,0,80,533681,33355.1,0.9541
4802,7.4,23807.tif,0,90,551487,34467.9,0.9859
4802,7.4,23807.tif,0,100,556926,34807.9,0.9956
6610,1.4,23843.tif,0,10,590,36.9,0.0013
6610,1.4,23843.tif,0,20,10479,654.9,0.0235
6610,1.4,23843.tif,0,30,30681,1917.6,0.0687
6610,1.4,23843.tif,0,40,33627,2101.7,0.0753
6610,1.4,23843.tif,0,50,80891,5055.7,0.1811
6610,1.4,23843.tif,0,60,116043,7252.7,0.2598
6610,1.4,23843.tif,0,70,261177,16323.6,0.5847
6610,1.4,23843.tif,0,80,366214,22888.4,0.8198
6610,1.4,23843.tif,0,90,413806,25862.9,0.9264
6610,1.4,23843.tif,0,100,434497,27156.1,0.9727
6610,3.8,23845.tif,0,10,1376,86.0,0.0043
6610,3.8,23845.tif,0,20,19787,1236.7,0.0611
6610,3.8,23845.tif,0,30,26178,1636.1,0.0809
6610,3.8,23845.tif,0,40,33367,2085.4,0.1031
6610,3.8,23845.tif,0,50,38046,2377.9,0.1175
6610,3.8,23845.tif,0,60,65603,4100.2,0.2026
6610,3.8,23845.tif,0,70,131638,8227.4,0.4066
6610,3.8,23845.tif,0,80,293106,18319.1,0.9053
6610,3.8,23845.tif,0,90,311716,19482.2,0.9628
6610,3.8,23845.tif,0,100,318470,19904.4,0.9837
6610,4.8,23847.tif,0,10,1935,120.9,0.007
6610,4.8,23847.tif,0,20,17970,1123.1,0.0651
6610,4.8,23847.tif,0,30,24550,1534.4,0.0889
